date,daily_avg_temp
2025-01-01,0.41
2025-01-02,2.1
2025-01-03,-4.66
2025-01-04,2.76
2025-01-05,3.94
2025-01-06,4.62
2025-01-07,6.29
2025-01-08,1.99
2025-01-09,-0.26
2025-01-10,1.36
2025-01-11,0.95
2025-01-12,-0.19
2025-01-13,-1.32
2025-01-14,-0.81
2025-01-15,-0.6
2025-01-16,0.17
2025-01-17,1.42
2025-01-18,2.17
2025-01-19,2.92
2025-01-20,1.02
2025-01-21,2.55
2025-01-22,4.72
2025-01-23,5.44
2025-01-24,4.64
2025-01-25,5.81
2025-01-26,7.94
2025-01-27,6.54
2025-01-28,7.71
2025-01-29,7.26
2025-01-30,6.64
2025-01-31,3.94
2025-02-01,3.41
2025-02-02,2.56
2025-02-03,-0.12
2025-02-04,-1.95
2025-02-05,-7.4
2025-02-06,-3.26
2025-02-07,0.54
2025-02-08,0.25
2025-02-09,2.04
2025-02-10,5.36
2025-02-11,9.95
2025-02-12,7.48
2025-02-13,6.55
2025-02-14,9.94
2025-02-15,8.45
2025-02-16,-2.34
2025-02-17,-5.19
2025-02-18,-1.41
2025-02-19,3.75
2025-02-20,6.4
2025-02-21,8.15
2025-02-22,-9.36
2025-02-23,4.34
2025-02-24,9.11
2025-02-25,6.85
2025-02-26,7.41
2025-02-27,7.58
2025-02-28,5.3
2025-02-29,7.95
2025-03-01,5.39
2025-03-02,4.2
2025-03-03,6.19
2025-03-04,1.59
2025-03-05,2.34
2025-03-06,5.51
2025-03-07,7.9
2025-03-08,11.01
2025-03-09,12.21
2025-03-10,5.58
2025-03-11,4.59
2025-03-12,8.55
2025-03-13,3.42
2025-03-14,5.72
2025-03-15,3.8
2025-03-16,5.35
2025-03-17,7.49
2025-03-18,13.34
2025-03-19,7.62
2025-03-20,10.46
2025-03-21,12.4
2025-03-22,11.18
2025-03-23,10.8
2025-03-24,12.29
2025-03-25,14.17
2025-03-26,15.83
2025-03-27,10.72
2025-03-28,7.65
2025-03-29,9.72
2025-03-30,10.45
2025-03-31,13.5
2025-04-01,10.79
2025-04-02,10.14
2025-04-03,10.32
2025-04-04,8.44
2025-04-05,7.75
2025-04-06,10.14
2025-04-07,10.89
2025-04-08,9.99
2025-04-09,9.44
2025-04-10,10.42
2025-04-11,9.22
2025-04-12,10.7
2025-04-13,13.07
2025-04-14,13.05
2025-04-15,14.72
2025-04-16,17.54
2025-04-17,12.09
2025-04-18,14.33
2025-04-19,12.0
2025-04-20,10.22
2025-04-21,7.6
2025-04-22,7.08
2025-04-23,9.02
2025-04-24,12.11
2025-04-25,13.06
2025-04-26,13.13
2025-04-27,13.08
2025-04-28,14.51
2025-04-29,15.8
2025-04-30,19.12
2025-05-01,20.81
2025-05-02,20.91
2025-05-03,22.36
2025-05-04,17.61
2025-05-05,15.64
2025-05-06,21.4
2025-05-07,22.04
2025-05-08,18.84
2025-05-09,14.48
2025-05-10,14.54
2025-05-11,15.89
2025-05-12,15.06
2025-05-13,17.64
2025-05-14,21.89
2025-05-15,15.79
2025-05-16,16.91
2025-05-17,20.27
2025-05-18,16.91
2025-05-19,13.66
2025-05-20,15.89
2025-05-21,18.96
2025-05-22,20.26
2025-05-23,20.79
2025-05-24,15.71
2025-05-25,16.35
2025-05-26,16.91
2025-05-27,18.63
2025-05-28,19.04
2025-05-29,22.01
2025-05-30,23.34
2025-05-31,20.85
2025-06-01,19.15
2025-06-02,19.61
2025-06-03,22.3
2025-06-04,21.1
2025-06-05,23.37
