date,daily_avg_temp
2025-01-01,-0.88
2025-01-02,0.79
2025-01-03,-5.95
2025-01-04,1.3
2025-01-05,2.33
2025-01-06,3.19
2025-01-07,5.06
2025-01-08,0.82
2025-01-09,-1.74
2025-01-10,-0.15
2025-01-11,-0.49
2025-01-12,-1.69
2025-01-13,-2.99
2025-01-14,-2.41
2025-01-15,-2.36
2025-01-16,-1.35
2025-01-17,-0.41
2025-01-18,0.86
2025-01-19,1.71
2025-01-20,-0.51
2025-01-21,0.89
2025-01-22,3.22
2025-01-23,4.08
2025-01-24,2.91
2025-01-25,3.99
2025-01-26,6.79
2025-01-27,5.29
2025-01-28,6.28
2025-01-29,5.96
2025-01-30,5.32
2025-01-31,2.86
2025-02-01,2.35
2025-02-02,1.52
2025-02-03,-1.61
2025-02-04,-3.29
2025-02-05,-9.35
2025-02-06,-4.79
2025-02-07,-0.66
2025-02-08,-1.23
2025-02-09,0.75
2025-02-10,4.05
2025-02-11,8.82
2025-02-12,6.36
2025-02-13,5.64
2025-02-14,8.94
2025-02-15,7.55
2025-02-16,-3.59
2025-02-17,-6.88
2025-02-18,-2.64
2025-02-19,2.42
2025-02-20,5.18
2025-02-21,7.31
2025-02-22,-9.78
2025-02-23,3.32
2025-02-24,8.09
2025-02-25,5.76
2025-02-26,6.44
2025-02-27,6.9
2025-02-28,4.16
2025-02-29,7.44
2025-03-01,4.62
2025-03-02,3.09
2025-03-03,5.76
2025-03-04,0.53
2025-03-05,1.3
2025-03-06,4.79
2025-03-07,7.19
2025-03-08,10.02
2025-03-09,11.49
2025-03-10,4.4
2025-03-11,3.61
2025-03-12,7.96
2025-03-13,2.34
2025-03-14,5.0
2025-03-15,2.82
2025-03-16,4.61
2025-03-17,6.59
2025-03-18,12.8
2025-03-19,6.91
2025-03-20,9.99
2025-03-21,12.22
2025-03-22,10.4
2025-03-23,10.46
2025-03-24,11.7
2025-03-25,13.69
2025-03-26,15.35
2025-03-27,9.94
2025-03-28,7.05
2025-03-29,9.36
2025-03-30,10.2
2025-03-31,13.16
2025-04-01,10.02
2025-04-02,9.24
2025-04-03,10.07
2025-04-04,7.81
2025-04-05,7.22
2025-04-06,9.57
2025-04-07,10.31
2025-04-08,9.46
2025-04-09,9.05
2025-04-10,10.1
2025-04-11,8.74
2025-04-12,10.29
2025-04-13,13.01
2025-04-14,12.75
2025-04-15,14.06
2025-04-16,17.16
2025-04-17,11.34
2025-04-18,14.03
2025-04-19,11.1
2025-04-20,9.48
2025-04-21,6.79
2025-04-22,6.34
2025-04-23,8.91
2025-04-24,12.02
2025-04-25,13.15
2025-04-26,12.88
2025-04-27,13.04
2025-04-28,14.65
2025-04-29,15.99
2025-04-30,19.4
2025-05-01,21.06
2025-05-02,20.87
2025-05-03,22.75
2025-05-04,18.01
2025-05-05,15.54
2025-05-06,21.25
2025-05-07,21.79
2025-05-08,18.62
2025-05-09,14.05
2025-05-10,14.39
2025-05-11,15.51
2025-05-12,14.77
2025-05-13,17.44
2025-05-14,21.62
2025-05-15,15.1
2025-05-16,16.8
2025-05-17,20.05
2025-05-18,16.58
2025-05-19,13.15
2025-05-20,15.63
2025-05-21,18.9
2025-05-22,19.8
2025-05-23,20.64
2025-05-24,15.91
2025-05-25,16.44
2025-05-26,16.49
2025-05-27,18.52
2025-05-28,19.3
2025-05-29,22.11
2025-05-30,23.41
2025-05-31,21.04
2025-06-01,19.09
2025-06-02,19.52
2025-06-03,22.52
2025-06-04,21.41
2025-06-05,23.53
2025-06-06,24.62
2025-06-07,23.02
2025-06-08,26.09
2025-06-09,28.31
2025-06-10,25.84
2025-06-11,26.48
2025-06-12,24.6
2025-06-13,27.46
2025-06-14,22.88
2025-06-15,23.3
2025-06-16,24.82
2025-06-17,23.99
2025-06-18,24.19
2025-06-19,24.53
2025-06-20,24.86
2025-06-21,27.36
2025-06-22,29.49
2025-06-23,28.09
2025-06-24,20.82
2025-06-25,20.67
2025-06-26,22.4
2025-06-27,25.09
2025-06-28,24.9
2025-06-29,22.64
2025-06-30,20.25
2025-07-01,22.04
2025-07-02,25.11
2025-07-03,24.68
2025-07-04,23.59
2025-07-05,24.55
2025-07-06,25.9
2025-07-07,24.26
2025-07-08,24.94
2025-07-09,28.79
2025-07-10,24.99
2025-07-11,26.49
2025-07-12,21.99
2025-07-13,18.21
2025-07-14,21.41
2025-07-15,23.75
2025-07-16,25.16
2025-07-17,26.38
2025-07-18,25.64
2025-07-19,25.15
2025-07-20,22.89
2025-07-21,25.96
2025-07-22,22.39
2025-07-23,20.45
2025-07-24,23.6
2025-07-25,24.85
2025-07-26,25.03
2025-07-27,24.06
2025-07-28,23.84
2025-07-29,24.21
2025-07-30,25.08
2025-07-31,26.74
2025-08-01,25.09
2025-08-02,25.06
2025-08-03,25.09
2025-08-04,27.24
2025-08-05,26.09
2025-08-06,23.75
2025-08-07,24.59
2025-08-08,24.65
2025-08-09,25.19
2025-08-10,25.69
2025-08-11,25.25
2025-08-12,28.06
2025-08-13,28.38
2025-08-14,26.86
2025-08-15,25.99
2025-08-16,27.95
2025-08-17,28.01
2025-08-18,27.72
2025-08-19,27.81
2025-08-20,28.07
2025-08-21,26.75
2025-08-22,23.1
2025-08-23,26.55
2025-08-24,28.55
2025-08-25,30.31
2025-08-26,30.74
2025-08-27,27.76
2025-08-28,28.15
2025-08-29,26.36
2025-08-30,27.24
2025-08-31,27.09
2025-09-01,27.3
2025-09-02,23.0
2025-09-03,23.04
2025-09-04,23.62
2025-09-05,23.75
2025-09-06,20.96
2025-09-07,20.54
2025-09-08,23.78
2025-09-09,20.86
2025-09-10,23.65
2025-09-11,21.1
2025-09-12,20.24
2025-09-13,21.99
2025-09-14,22.15
2025-09-15,23.99
2025-09-16,22.08
2025-09-17,21.6
2025-09-18,21.05
2025-09-19,21.31
2025-09-20,19.84
2025-09-21,19.6
2025-09-22,20.21
2025-09-23,20.08
2025-09-24,20.81
2025-09-25,20.46
2025-09-26,20.01
2025-09-27,20.9
2025-09-28,11.51
2025-09-29,20.46
2025-09-30,19.44
2025-10-01,18.95
2025-10-02,19.64
2025-10-03,19.84
2025-10-04,14.92
2025-10-05,14.18
2025-10-06,15.19
2025-10-07,17.16
2025-10-08,17.48
2025-10-09,17.55
2025-10-10,17.19
2025-10-11,16.95
2025-10-12,15.65
2025-10-13,14.44
2025-10-14,12.35
2025-10-15,12.7
2025-10-16,12.71
2025-10-17,13.48
2025-10-18,14.71
2025-10-19,15.45
2025-10-20,16.01
2025-10-21,14.94
2025-10-22,12.29
2025-10-23,9.0
2025-10-24,10.16
2025-10-25,13.22
2025-10-26,13.9
2025-10-27,15.88
2025-10-28,12.65
2025-10-29,11.69
2025-10-30,13.02
2025-10-31,15.63
2025-11-01,12.02
2025-11-02,10.56
2025-11-03,4.95
2025-11-04,6.36
2025-11-05,12.05
2025-11-06,14.92
2025-11-07,13.96
2025-11-08,7.11
2025-11-09,6.78
2025-11-10,8.59
2025-11-11,10.15
2025-11-12,12.0
2025-11-13,12.25
2025-11-14,12.95
2025-11-15,11.64
2025-11-16,14.29
2025-11-17,17.29
2025-11-18,19.21
2025-11-19,9.45
2025-11-20,1.8
2025-11-21,8.34
2025-11-22,3.71
2025-11-23,2.34
2025-11-24,3.78
2025-11-25,5.99
2025-11-26,6.6
2025-11-27,2.76
2025-11-28,-0.36
2025-11-29,-0.1
2025-11-30,0.36
2025-12-01,2.79
2025-12-02,2.33
2025-12-03,-0.12
2025-12-04,0.76
2025-12-05,3.52
2025-12-06,5.94
2025-12-07,1.44
2025-12-08,-0.28
2025-12-09,3.88
2025-12-10,6.5
2025-12-11,5.31
2025-12-12,2.8
2025-12-13,-4.31
2025-12-14,-8.5
2025-12-15,-7.64
2025-12-16,-7.24
2025-12-17,-1.0
2025-12-18,-9.46
2025-12-19,-3.76
2025-12-20,-1.71
2025-12-21,1.14
2025-12-22,3.98
2025-12-23,6.59
2025-12-24,1.27
2025-12-25,1.29
2025-12-26,4.7
2025-12-27,8.07
2025-12-28,7.01
2025-12-29,-3.53
2025-12-30,-11.18
2025-12-31,-6.85
