date,daily_avg_temp
2025-01-01,-2.15
2025-01-02,-4.26
2025-01-03,-3.6
2025-01-04,-1.64
2025-01-05,-6.49
2025-01-06,-8.22
2025-01-07,-14.54
2025-01-08,-13.51
2025-01-09,-10.15
2025-01-10,-5.84
2025-01-11,-5.15
2025-01-12,-1.12
2025-01-13,3.45
2025-01-14,4.72
2025-01-15,2.79
2025-01-16,-5.59
2025-01-17,-2.82
2025-01-18,-4.99
2025-01-19,-3.66
2025-01-20,3.42
2025-01-21,5.45
2025-01-22,6.31
2025-01-23,7.74
2025-01-24,8.12
2025-01-25,9.74
2025-01-26,4.18
2025-01-27,2.91
2025-01-28,-5.42
2025-01-29,-5.59
2025-01-30,0.96
2025-01-31,8.12
2025-02-01,1.85
2025-02-02,-5.55
2025-02-03,-1.6
2025-02-04,-2.19
2025-02-05,4.55
2025-02-06,7.18
2025-02-07,1.24
2025-02-08,-2.39
2025-02-09,1.45
2025-02-10,4.82
2025-02-11,6.29
2025-02-12,7.46
2025-02-13,10.0
2025-02-14,9.38
2025-02-15,-2.02
2025-02-16,-5.72
2025-02-17,-7.72
2025-02-18,-3.62
2025-02-19,5.79
2025-02-20,9.75
2025-02-21,12.54
2025-02-22,5.18
2025-02-23,0.68
2025-02-24,4.45
2025-02-25,5.91
2025-02-26,9.93
2025-02-27,9.5
2025-02-28,8.95
2025-03-01,3.18
2025-03-02,2.92
2025-03-03,6.12
2025-03-04,8.49
2025-03-05,9.21
2025-03-06,6.26
2025-03-07,6.56
2025-03-08,7.62
2025-03-09,7.12
2025-03-10,9.79
2025-03-11,12.01
2025-03-12,10.36
2025-03-13,9.02
2025-03-14,8.96
2025-03-15,11.42
2025-03-16,7.62
2025-03-17,9.56
2025-03-18,13.68
2025-03-19,15.29
2025-03-20,7.7
2025-03-21,5.62
2025-03-22,6.81
2025-03-23,10.6
2025-03-24,3.99
2025-03-25,10.13
2025-03-26,15.5
2025-03-27,12.24
2025-03-28,8.76
2025-03-29,9.91
2025-03-30,12.09
2025-03-31,17.12
2025-04-01,18.25
2025-04-02,19.53
2025-04-03,12.85
2025-04-04,11.98
2025-04-05,13.08
2025-04-06,14.01
2025-04-07,14.51
2025-04-08,13.85
2025-04-09,13.78
2025-04-10,13.24
2025-04-11,17.18
2025-04-12,13.09
2025-04-13,9.14
2025-04-14,9.0
2025-04-15,13.11
2025-04-16,10.3
2025-04-17,10.01
2025-04-18,10.32
2025-04-19,13.04
2025-04-20,16.28
2025-04-21,21.06
2025-04-22,21.8
2025-04-23,19.6
2025-04-24,17.81
2025-04-25,18.74
