date,daily_avg_temp
2025-01-01,3.65
2025-01-02,2.62
2025-01-03,0.32
2025-01-04,2.85
2025-01-05,3.1
2025-01-06,-0.32
2025-01-07,-6.34
2025-01-08,-2.51
2025-01-09,-1.49
2025-01-10,-0.51
2025-01-11,2.21
2025-01-12,0.44
2025-01-13,0.54
2025-01-14,-1.92
2025-01-15,-3.78
2025-01-16,-0.71
2025-01-17,0.91
2025-01-18,3.52
2025-01-19,2.99
2025-01-20,0.95
2025-01-21,-2.79
2025-01-22,-12.74
2025-01-23,-12.91
2025-01-24,-9.06
2025-01-25,-5.48
2025-01-26,-1.81
2025-01-27,-2.04
2025-01-28,-2.11
2025-01-29,-0.96
2025-01-30,2.49
2025-01-31,2.81
2025-02-01,1.3
2025-02-02,1.85
2025-02-03,4.08
2025-02-04,5.36
2025-02-05,-0.52
2025-02-06,-0.78
2025-02-07,-1.04
2025-02-08,0.15
2025-02-09,0.25
2025-02-10,0.36
2025-02-11,0.45
2025-02-12,4.72
2025-02-13,10.64
2025-02-14,11.3
2025-02-15,0.11
2025-02-16,2.0
2025-02-17,5.31
2025-02-18,7.39
2025-02-19,5.39
2025-02-20,2.49
2025-02-21,-1.08
2025-02-22,-1.61
2025-02-23,-0.2
2025-02-24,0.51
2025-02-25,1.04
2025-02-26,2.96
2025-02-27,4.11
2025-02-28,5.14
2025-02-29,1.21
2025-03-01,-6.9
2025-03-02,0.75
2025-03-03,2.11
2025-03-04,6.1
2025-03-05,5.41
2025-03-06,4.05
2025-03-07,1.54
2025-03-08,0.29
2025-03-09,1.11
2025-03-10,4.31
2025-03-11,6.15
2025-03-12,4.26
2025-03-13,5.55
2025-03-14,7.38
2025-03-15,7.95
2025-03-16,10.39
2025-03-17,5.56
2025-03-18,6.55
2025-03-19,4.15
2025-03-20,2.25
2025-03-21,5.3
2025-03-22,9.99
2025-03-23,12.4
2025-03-24,15.05
2025-03-25,5.98
2025-03-26,5.95
2025-03-27,10.49
2025-03-28,7.38
2025-03-29,6.18
2025-03-30,7.89
2025-03-31,10.42
2025-04-01,12.24
2025-04-02,16.24
2025-04-03,14.45
2025-04-04,13.41
2025-04-05,12.1
2025-04-06,12.37
2025-04-07,15.26
2025-04-08,15.54
2025-04-09,13.11
2025-04-10,13.09
2025-04-11,14.92
2025-04-12,16.31
2025-04-13,19.54
2025-04-14,21.11
2025-04-15,12.1
2025-04-16,11.72
2025-04-17,14.94
2025-04-18,16.7
2025-04-19,18.01
2025-04-20,12.7
2025-04-21,15.31
2025-04-22,16.21
2025-04-23,14.51
2025-04-24,10.76
2025-04-25,14.14
2025-04-26,17.31
2025-04-27,18.09
2025-04-28,20.71
2025-04-29,18.6
2025-04-30,16.33
2025-05-01,16.71
2025-05-02,17.2
2025-05-03,20.12
2025-05-04,20.94
2025-05-05,15.01
2025-05-06,11.85
2025-05-07,11.28
2025-05-08,13.92
2025-05-09,15.64
2025-05-10,17.45
2025-05-11,14.68
2025-05-12,16.38
2025-05-13,17.96
2025-05-14,18.42
2025-05-15,8.9
2025-05-16,13.59
2025-05-17,18.75
2025-05-18,20.15
2025-05-19,20.52
2025-05-20,18.24
2025-05-21,20.32
2025-05-22,20.02
2025-05-23,19.16
2025-05-24,19.48
2025-05-25,20.0
2025-05-26,17.2
2025-05-27,17.37
2025-05-28,19.35
2025-05-29,21.26
2025-05-30,19.9
2025-05-31,18.79
2025-06-01,18.89
2025-06-02,19.7
2025-06-03,21.11
2025-06-04,21.99
2025-06-05,23.05
2025-06-06,22.82
2025-06-07,21.08
2025-06-08,18.81
2025-06-09,22.41
2025-06-10,23.85
2025-06-11,23.86
2025-06-12,24.24
2025-06-13,26.17
2025-06-14,24.35
2025-06-15,22.05
2025-06-16,22.91
2025-06-17,23.99
2025-06-18,25.5
2025-06-19,27.94
2025-06-20,27.55
2025-06-21,26.61
2025-06-22,21.18
2025-06-23,23.71
2025-06-24,22.64
2025-06-25,21.4
2025-06-26,24.71
2025-06-27,25.16
2025-06-28,25.72
2025-06-29,24.69
2025-06-30,21.27
2025-07-01,25.61
2025-07-02,21.31
2025-07-03,22.61
2025-07-04,24.96
2025-07-05,22.45
2025-07-06,23.02
2025-07-07,23.46
2025-07-08,22.05
2025-07-09,23.0
2025-07-10,25.61
2025-07-11,24.14
2025-07-12,24.83
2025-07-13,26.89
2025-07-14,26.3
2025-07-15,26.79
2025-07-16,24.1
2025-07-17,23.87
2025-07-18,22.68
2025-07-19,26.16
2025-07-20,24.6
2025-07-21,26.09
2025-07-22,25.24
2025-07-23,24.85
2025-07-24,26.95
2025-07-25,27.23
2025-07-26,27.64
2025-07-27,27.06
2025-07-28,27.36
2025-07-29,25.31
2025-07-30,27.45
2025-07-31,28.26
2025-08-01,28.39
2025-08-02,28.11
2025-08-03,29.3
2025-08-04,30.33
2025-08-05,27.64
2025-08-06,27.96
2025-08-07,27.96
2025-08-08,26.46
2025-08-09,28.16
2025-08-10,28.86
2025-08-11,29.54
2025-08-12,29.94
2025-08-13,29.09
2025-08-14,28.85
2025-08-15,28.36
2025-08-16,28.63
2025-08-17,28.59
2025-08-18,28.05
2025-08-19,29.01
2025-08-20,29.45
2025-08-21,26.75
2025-08-22,26.12
2025-08-23,26.78
2025-08-24,26.28
2025-08-25,27.1
2025-08-26,26.51
2025-08-27,24.59
2025-08-28,26.51
2025-08-29,26.66
2025-08-30,26.02
2025-08-31,26.66
2025-09-01,25.59
2025-09-02,23.0
2025-09-03,25.12
2025-09-04,26.61
2025-09-05,23.68
2025-09-06,21.53
2025-09-07,25.21
2025-09-08,26.13
2025-09-09,27.58
2025-09-10,28.6
2025-09-11,27.43
2025-09-12,23.33
2025-09-13,24.77
2025-09-14,26.53
2025-09-15,24.46
2025-09-16,26.13
2025-09-17,27.54
2025-09-18,27.56
